0,A,Dijiang
1,A,Lamusi
2,Gunnar,Nielsen Aaby
3,Edgar,Lindenau Aabye
4,Christine,Jacoba Aaftink
5,Per,Knut Aaland
6,John,Aalberg
7,Cornelia,Aalten 
8,Antti,Sami Aalto
9,Einar,Ferdinand Aalto
10,Jorma,Ilmari Aalto
11,Jyri,Tapani Aalto
12,Minna,Maarit Aalto
13,Pirjo,Hannele Aalto 
14,Arvo,Ossian Aaltonen
15,Juhamatti,Tapio Aaltonen
16,Paavo,Johannes Aaltonen
17,Timo,Antero Aaltonen
18,Win,Valdemar Aaltonen
19,Kjetil,Andr Aamodt
20,Ragnhild,Margrethe Aamodt
21,Andreea,Aanei
22,Fritz,Aanes
23,Nils,Egil Aaness
24,Alf,Lied Aanning
25,Agnes,Erika Aanonsen 
26,Johan,Aantjes
27,Jan-Erik,Aarberg
28,Willemien,Aardenburg
29,Pepijn,Aardewijn
30,Evald,rma 
31,Olav,Augunson Aarnes
32,Mika,Lauri Aarnikka
33,Jamale, Aarrass 
34,Dagfinn,Sverre Aarskog
35,Stefan,Remco Aartsen
36,Ann,Kristin Aarnes
37,Karl,Jan Aas
38,Lars,Thorlaksn Aas
39,Roald,Edgar Aas
40,Rolf,Aas
41,Thomas,Valentin Aas
42,Morten,Gjerdrum Aasen
43,Meelis,Aasme
44,Hakon,Aasns
45,Hans,Aasns
46,Erling,Rudolf Aastad
47,Abdelhak,Aatakni
48,Moonika,Aava
49,Arvi,Aavik
50,Nstor,Abad Sanjun
51,Patrick,Abada
52,Talaat,Abada
53,Mohamed,Jamshid Abadi
54,Antonio,Abadia Beci
55,Ren,Abadie
56,Borislav,Abadzhiev
57,Georgi,Abadzhiev
58,Ivan,Nikolov Abadzhiev
59,Mikhail,Abadzhiev
60,Stefan,Abadzhiev
61,Giovanni,Abagnale
62,Jos,Luis Abajo Gmez
63,M'Bairo,Abakar
64,Patimat,Abakarova
65,Mohamed,Abakkar
66,Mariya,Vasilyevna Abakumova 
67,Pablo,Martn Abal
68,Tamara,Abalde Daz
69,Jess,Iory Aball Martnez
70,Juan,Antonio Aball Delgado
71,Aleksey,Aleksandrovich Abalmasov
72,Luc,Abalo
73,Mara,Laura Abalo
74,Giorgos,Abalof
75,Jouan,Patrice Abanda Etong
76,Antoine,Abang
77,Salim,Abanoz
78,Carlos,Abarca Gonzlez
79,Jos,Mara Abarca Plotas
80,Georgios,Abaris
81,Enrique,Abaroa Martnez
82,Carlos,Arturo Abarza Chavez
83,Stephen,Anthony Abas
84,Alejandro,Abascal Garca
85,Jos,Manuel Abascal Gmez
86,Rost'om,Omeris dze Abashidze
87,Nunu,Dzhansuhivna Abashydze 
88,Rodrigo,Abasolo
89,Tamila,Rashidovna Abasova
90,Emanuele,Abate
91,Ignazio,Abate
92,Jol,Marc Abati
93,Ral,Abatte
94,Georgia,Abatzidou
95,Carlos,Rodolfo Abaunza Balladares
96,Carlos,Alberto Abaunza
97,Hctor,Abaunza
98,Pter,Abay
99,Oszkr,Abay-Nemes
100,Adeyemi,Abayomi
101,Sayed,Fahmy Abaza
102,Silvano,Abba
103,Gana,Abba Kimet
104,Ilyas,Abbadi
105,Agostino,Abbagnale
106,Carmine,Abbagnale
107,Giuseppe,Abbagnale
108,Abdul,Latif Al-Sayed Abbas Youssef Hashem
109,Abubakar,Abbas Abbas
110,Aqarab,Abbas
111,Aziz,Abbas
112,Bassim,Abbas Kati Al-Ogaili
113,Essa,Abbas Faleh Hashem
114,Ghulam,Abbas
115,Hosni,Mohamed Abbas
116,Maher,Abbas
117,Mahmoud,Abbas
118,Mohamed,Fakhry Rifaat Abbas
119,Mohammed,Abbas Sabih
120,Muhammad,Abbas
121,Nader,Sufyan Abbas
122,Sohail,Abbas
123,Youssef,Mohamed Abbas
124,Zulkifli,Abbas
125,Forough,Abbasi
126,Shakeel,Abbasi
127,Soulmaz,Abbasi Azad
128,Ruslan,Abbasov
129,Tural,Abbasov
130,Tran,Abbasova
131,Simona,Abbate
132,Franz,Abb
133,Christian,Abbiati
134,Lois,Abbingh
135,Alessandro,Abbio
136,Giordano,Giulio Abbondati
137,Salwan,Jasim Abbood Abbood
138,George,Abbot
139,William,Abbott Jr.
140,Clare,Abbott
141,David,Abbott
142,Desmond,Abbott
143,Geoffrey,Grant Abbott
144,Jeremy,Abbott
145,Joanne,Abbott
146,Kathryn,Abbott
147,Mara,Katherine Abbott
148,Margaret,Ives Abbott 
149,Mary,Perkins Ives Abbott 
150,Matt,Abbott
151,Monica,Cecilia Abbott
152,Khadija,Abbouda
153,Mohamed,Ibrahim Abd El-Fatah Mohamed
154,Mahmoud,Abd El-Kader
155,Mohamed,Ibrahim Abd El-Salam
156,Noha,Abd Rabo
157,Reem,Wa'il Abdalazem Abdalazem El-Bossaty
158,Ali,Abdalla Afringi
159,Hossam,Abdalla
160,Hosam,Abdallah
161,Ismail,Abdallah
162,Maged,Abdallah
163,Nia,Nicole Abdallah
164,Omari,Abdallah
165,Ould,Lamine Abdallah
166,Younis,Abdallah Rabee
167,Raida,Abdallah Bader
168,Maha,Abdalsalam Gouda
169,Mahmoud,Abdel Aziz
170,Mohamed,Abdel Ellah
171,Mohamed,Abdel Fatah
172,Ali,Mohamed Badawi Abdel Fattah Badawi
173,Abdelgani,Hassan Abdel Fattah
174,Mahmoud,Atter Abdel Fattah
175,Mohamed,Abdel Fattah
176,Sayed,Abdel Gadir
177,Ibrahim,Saad Abdel Galil
178,Heba,Abdel Gawad
179,Sara,Abdel Gawad
180,Gamal,Amin Abdel Ghani
181,Abdel,Sattar Abdel Hadj
182,Ragy,Abdel Hady
183,Osman,Abdel Hafeez
184,Mohamed,Abdel Hafiz
185,Moustafa,Ali Abdel Halim
186,Mohamed,Abdel Hamed
187,Hwad,Ibrahim Abdel Hamid Lumomba
188,Ibrahim,Abdel Hamid
189,Tamer,Mohamed Abdel Hamid
190,Ahmed,El-Sayed Abdel Hamid Mobarak
191,Dorri,Abdel Kader Said
192,Moustafa,Mounib Abdel Kader
193,Mohamed,Ali Abdel Kerim
194,Mohamed,Abdel Khaled
195,Abdel,Latif Abdel Latif
196,Walid,Abdel Maksoud
197,Amir,Abdel Meguid
198,Mohamed,Abdel Mohamed
199,Karim,Abdel Mohsen
200,Awad,Abdel Nabi Awad
201,Ahmed,Abdel Naeim
202,Moustafa,Abdel Naser
203,Ali,Abdel Radi
204,Amin,Abdel Rahman
205,Mohamed,Fathallah Abdel Rahman
206,Fathi,Ali Abdel Rahman
207,Ibrahim,Abdel Rahman
208,Khaled,Abdel Rahman
209,Sameh,Abdel Rahman
210,Yasser,Abdel Rahman Sakr
211,Samy,Abdel Razek
212,Mohamed,Youssef Abdel Razik
213,Ibrahim,Ahmed Abdel Rehim
214,Kamal,Abdel Rehim
215,Reskalla,Mohamed Abdel Rehim
216,Ahmed,Ali Abdel Samad
217,Ali,Abdel Sami
218,Mohamed,Abdel Sami
219,Sameh,Abdel Waress Muhammad
220,Mohamed,Said Abdel Wehab
221,Mahmoud,Abdel-Aal
222,Mohamed,Abdel-El
223,Shaimaa,Abdel-Latif-Hashad
224,Sanad,Bushara Abdel-Nadif
225,Ahmed,Abdelaal
226,Mahmoud,Abdelaal
227,Mohamed,Ali Abdelaal
228,Moustafa,Abdelal
229,Mahmod,Abdelaly
230,Ibrahim,Ramadan Ibrahim Abdelbaki
231,Aziza,Abdelfattah
232,Abdalla,Abdelgadir El-Sheikh
233,Magdi,Abdelghani Sayed Ahmed
234,Ragab,Abdelhay Saad Abdelrazek Abdallah
235,Ben,Ahmed Abdelkrim
236,Mohamed,Abdellah
237,Ayoub,Abdellaoui
238,Leila,Abdelmoez
239,Sayed,Abdelmonem Sayed Hamed
240,Ahmed,Abdelrahman
241,Ihab,Abdelrahman El-Sayed Abdelrahman
242,Raouf,Abdelraouf
243,Abouelfetoh,Abdelrazek
244,Mamdouh,Abdelrehim
245,El-Hachemi,Abdenouz
246,Rda,Abdenouz
247,Mouni,Abderrahim
248,Saeid,Morad Abdevali
249,Bashir,Abdi
250,Youcef,Abdi
251,Jamal,Abdi Hassan Abdullah
252,Talal,Omar Abdillahi
253,Mahmoud,Ahmed Abdin
254,Abdihakim,Abdirahman
255,Ali,Abdo
256,Hamza,Abdo
257,Reema,Abdo
258,Ahmed,Abdo Mustafa
259,Nasrollah,Abdollahi
260,Yhyacinthe,Mewoli Abdon
261,Hassane,Abdou
262,Justin,Abdou
263,Moustafa,Ahmed Ismail Abdou Ali Arfah
264,Raouf,Abdou
265,Mohamed,Abdou El-Souad
266,Brahim,Daoud Abdoulaye
267,Fawziya,Abdoulkarim
268,Alaa,El-Din Abdoun
269,Ibrahim,Abdrabbou
270,Berik,Abdrakhmanov
271,Maizurah,Abdul Rahim
272,Mehdi,Fahim Abdul Al-Sada
273,Bashir,Abdullah Abdul Aziz
274,Chairil,Anwar Abdul Aziz
275,Shaimaa,Abdul Aziz
276,Mohamed,Abdul Hadj
277,Jefri,Kiko Bolkiah Abdul Hakeem
278,Mohamed,Abdul Hamid
279,S.,Abdul Hamid
280,Hadi,Abdul Jabbar
281,Mohamed,Abed Abdul Jawad
282,Anouar,Abdul Kader
283,Talal,Hassoun Abdul Kader
284,Abdul,Aziz Hassan Al-Hadba Abdul Karim Abdul Kareem
285,Taha,Abdul Karim
286,Masoud,Abdul Khamis Al-Rahman
287,Abdul,Haji Abdul Latheef
288,Fatima,Abdul Majeed Hameed Al-Kirashi
289,Majed,Ahmed Abdul Mohamed
290,Firouz,Abdul Mohammadian
291,Hussam,Abdul Rahman
292,Mohamed,Ghulom Abdul Rahman
293,Suleman,Abdul Rahman
294,Zambrose,Abdul Rahman
295,Lala,Abdul Rashid
296,Muhammad,Abdul Rashid
297,Dana,Abdul Razak 
298,A.,Abdul Razzak
299,Mohamed,Abdul Razzak
300,Muhammad,Abdul Razzaq
301,Hazim,Abdul Ridha
